frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
76;0.0402654;0.0224475;-0.0748827
76;0.958912;0.268889;0.230295
76;1.60903;0.308584;-0.0086874
76;1.63202;0.337339;-0.208911
76;2.26554;0.085678;2.30113
76;2.28577;0.198274;2.33273
76;2.2994;0.316633;2.3636
76;2.30558;0.441114;2.39365
76;0.0346282;0.0278008;-0.0754958
76;0.93452;0.310226;0.257892
76;1.59213;0.367502;-0.0103322
76;1.6006;0.454581;-0.162569
76;2.25402;0.19552;2.30033
76;2.15009;0.357311;2.41684
76;2.15108;0.482452;2.44768
76;2.14277;0.614502;2.47751
76;0.0435344;0.0181011;-0.0745327
76;0.971539;0.231001;0.231551
76;1.62064;0.254382;-0.0556138
76;1.64775;0.277442;-0.207404
76;2.27141;-0.0217606;2.30131
76;2.29745;0.0868848;2.33354
76;2.31752;0.201028;2.36512
76;2.3309;0.32097;2.39598
frame ; y ; z ; x 
77;0.0402654;0.0224475;-0.0748827
77;0.958912;0.268889;0.230295
77;1.60903;0.308584;-0.0086874
77;1.63202;0.337339;-0.208911
77;2.24768;0.423744;0.188822
77;2.26554;0.085678;2.30113
77;2.28577;0.198274;2.33273
77;2.2994;0.316633;2.3636
77;2.30558;0.441114;2.39365
77;0.0346282;0.0278008;-0.0754958
77;1.59213;0.367502;-0.0103322
77;1.6006;0.454581;-0.162569
77;2.22463;0.505972;0.186587
77;2.25402;0.19552;2.30033
77;2.15009;0.357311;2.41684
77;2.15108;0.482452;2.44768
77;2.14277;0.614502;2.47751
77;0.0435344;0.0181011;-0.0745327
77;0.971539;0.231001;0.231551
77;1.62064;0.254382;-0.0556138
77;1.64775;0.277442;-0.207404
77;2.24768;0.423744;0.188822
77;2.27141;-0.0217606;2.30131
77;2.29745;0.0868848;2.33354
77;2.31752;0.201028;2.36512
77;2.3309;0.32097;2.39598
frame ; y ; z ; x 
78;0.0402654;0.0224475;-0.0748827
78;0.958912;0.268889;0.230295
78;1.60903;0.308584;-0.0086874
78;1.63202;0.337339;-0.208911
78;2.26554;0.085678;2.30113
78;2.28577;0.198274;2.33273
78;2.2994;0.316633;2.3636
78;2.30558;0.441114;2.39365
78;0.0346282;0.0278008;-0.0754958
78;1.59213;0.367502;-0.0103322
78;1.6006;0.454581;-0.162569
78;2.22463;0.505972;0.186587
78;2.25402;0.19552;2.30033
78;2.15009;0.357311;2.41684
78;2.15108;0.482452;2.44768
78;2.14277;0.614502;2.47751
78;0.0435344;0.0181011;-0.0745327
78;1.62064;0.254382;-0.0556138
78;1.64775;0.277442;-0.207404
78;2.27141;-0.0217606;2.30131
78;2.29745;0.0868848;2.33354
78;2.31752;0.201028;2.36512
78;2.3309;0.32097;2.39598
frame ; y ; z ; x 
79;0.0402654;0.0224475;-0.0748827
79;0.958912;0.268889;0.230295
79;1.60903;0.308584;-0.0086874
79;1.62248;0.392069;-0.160377
79;2.22463;0.505972;0.186587
79;2.26554;0.085678;2.30113
79;2.28577;0.198274;2.33273
79;2.2994;0.316633;2.3636
79;2.30558;0.441114;2.39365
79;0.0346282;0.0278008;-0.0754958
79;0.93452;0.310226;0.257892
79;1.59213;0.367502;-0.0103322
79;1.6006;0.454581;-0.162569
79;2.22463;0.505972;0.186587
79;2.25402;0.19552;2.30033
79;2.15009;0.357311;2.41684
79;2.15108;0.482452;2.44768
79;2.14277;0.614502;2.47751
79;0.0435344;0.0181011;-0.0745327
79;0.971539;0.231001;0.231551
79;1.62064;0.254382;-0.0556138
79;1.64775;0.277442;-0.207404
79;2.24768;0.423744;0.188822
79;2.27141;-0.0217606;2.30131
79;2.29745;0.0868848;2.33354
79;2.31752;0.201028;2.36512
79;2.3309;0.32097;2.39598
frame ; y ; z ; x 
80;0.0402654;0.0224475;-0.0748827
80;0.958912;0.268889;0.230295
80;1.60903;0.308584;-0.0086874
80;1.63202;0.337339;-0.208911
80;2.24768;0.423744;0.188822
80;2.26554;0.085678;2.30113
80;2.28577;0.198274;2.33273
80;2.2994;0.316633;2.3636
80;2.30558;0.441114;2.39365
80;0.0346282;0.0278008;-0.0754958
80;0.93452;0.310226;0.257892
80;1.59213;0.367502;-0.0103322
80;1.6006;0.454581;-0.162569
80;2.25402;0.19552;2.30033
80;2.15009;0.357311;2.41684
80;2.15108;0.482452;2.44768
80;2.14277;0.614502;2.47751
80;0.0435344;0.0181011;-0.0745327
80;0.971539;0.231001;0.231551
80;1.62064;0.254382;-0.0556138
80;1.64775;0.277442;-0.207404
80;2.24768;0.423744;0.188822
80;2.27141;-0.0217606;2.30131
80;2.29745;0.0868848;2.33354
80;2.31752;0.201028;2.36512
80;2.3309;0.32097;2.39598
frame ; y ; z ; x 
81;0.0402654;0.0224475;-0.0748827
81;0.958912;0.268889;0.230295
81;1.60903;0.308584;-0.0086874
81;1.63202;0.337339;-0.208911
81;2.22463;0.505972;0.186587
81;2.26554;0.085678;2.30113
81;2.28577;0.198274;2.33273
81;2.2994;0.316633;2.3636
81;2.30558;0.441114;2.39365
81;0.0346282;0.0278008;-0.0754958
81;0.93452;0.310226;0.257892
81;1.59213;0.367502;-0.0103322
81;1.6006;0.454581;-0.162569
81;2.22463;0.505972;0.186587
81;2.25402;0.19552;2.30033
81;2.15009;0.357311;2.41684
81;2.15108;0.482452;2.44768
81;2.14277;0.614502;2.47751
81;0.0435344;0.0181011;-0.0745327
81;1.62064;0.254382;-0.0556138
81;1.64775;0.277442;-0.207404
81;2.24768;0.423744;0.188822
81;2.27141;-0.0217606;2.30131
81;2.29745;0.0868848;2.33354
81;2.31752;0.201028;2.36512
81;2.3309;0.32097;2.39598
frame ; y ; z ; x 
82;0.0402654;0.0224475;-0.0748827
82;0.958912;0.268889;0.230295
82;1.60903;0.308584;-0.0086874
82;1.63202;0.337339;-0.208911
82;2.26554;0.085678;2.30113
82;2.28577;0.198274;2.33273
82;2.2994;0.316633;2.3636
82;2.30558;0.441114;2.39365
82;0.0346282;0.0278008;-0.0754958
82;0.93452;0.310226;0.257892
82;1.59213;0.367502;-0.0103322
82;1.6006;0.454581;-0.162569
82;2.25402;0.19552;2.30033
82;2.15009;0.357311;2.41684
82;2.15108;0.482452;2.44768
82;2.14277;0.614502;2.47751
82;0.0272308;0.0251754;-0.0790866
82;0.971539;0.231001;0.231551
82;1.62064;0.254382;-0.0556138
82;1.64775;0.277442;-0.207404
82;2.27141;-0.0217606;2.30131
82;2.29745;0.0868848;2.33354
82;2.31752;0.201028;2.36512
82;2.3309;0.32097;2.39598
frame ; y ; z ; x 
83;0.0402654;0.0224475;-0.0748827
83;0.958912;0.268889;0.230295
83;1.60903;0.308584;-0.0086874
83;1.63202;0.337339;-0.208911
83;2.24768;0.423744;0.188822
83;2.26554;0.085678;2.30113
83;2.28577;0.198274;2.33273
83;2.2994;0.316633;2.3636
83;2.30558;0.441114;2.39365
83;0.0346282;0.0278008;-0.0754958
83;0.93452;0.310226;0.257892
83;1.59213;0.367502;-0.0103322
83;1.6006;0.454581;-0.162569
83;2.22463;0.505972;0.186587
83;2.25402;0.19552;2.30033
83;2.15009;0.357311;2.41684
83;2.15108;0.482452;2.44768
83;2.14277;0.614502;2.47751
83;0.0435344;0.0181011;-0.0745327
83;0.971539;0.231001;0.231551
83;1.62064;0.254382;-0.0556138
83;1.64775;0.277442;-0.207404
83;2.24768;0.423744;0.188822
83;2.27141;-0.0217606;2.30131
83;2.29745;0.0868848;2.33354
83;2.31752;0.201028;2.36512
83;2.3309;0.32097;2.39598
frame ; y ; z ; x 
84;0.0402654;0.0224475;-0.0748827
84;0.958912;0.268889;0.230295
84;1.60903;0.308584;-0.0086874
84;1.63202;0.337339;-0.208911
84;2.24768;0.423744;0.188822
84;2.26554;0.085678;2.30113
84;2.28577;0.198274;2.33273
84;2.2994;0.316633;2.3636
84;2.30558;0.441114;2.39365
84;0.0346282;0.0278008;-0.0754958
84;0.93452;0.310226;0.257892
84;1.5465;0.352261;0.0831744
84;1.59213;0.367502;-0.0103322
84;1.6006;0.454581;-0.162569
84;2.22463;0.505972;0.186587
84;2.25402;0.19552;2.30033
84;2.15009;0.357311;2.41684
84;2.15108;0.482452;2.44768
84;2.14277;0.614502;2.47751
84;0.0435344;0.0181011;-0.0745327
84;0.971539;0.231001;0.231551
84;1.56373;0.29708;0.0382492
84;1.62064;0.254382;-0.0556138
84;1.64775;0.277442;-0.207404
84;2.24768;0.423744;0.188822
84;2.27141;-0.0217606;2.30131
84;2.29745;0.0868848;2.33354
84;2.31752;0.201028;2.36512
84;2.3309;0.32097;2.39598
frame ; y ; z ; x 
85;0.0402654;0.0224475;-0.0748827
85;0.958912;0.268889;0.230295
85;1.60903;0.308584;-0.0086874
85;1.62248;0.392069;-0.160377
85;1.63202;0.337339;-0.208911
85;2.22463;0.505972;0.186587
85;2.26554;0.085678;2.30113
85;2.28577;0.198274;2.33273
85;2.2994;0.316633;2.3636
85;2.30558;0.441114;2.39365
85;0.0346282;0.0278008;-0.0754958
85;0.93452;0.310226;0.257892
85;1.59213;0.367502;-0.0103322
85;1.6006;0.454581;-0.162569
85;2.22463;0.505972;0.186587
85;2.25402;0.19552;2.30033
85;2.15009;0.357311;2.41684
85;2.15108;0.482452;2.44768
85;2.14277;0.614502;2.47751
85;0.0435344;0.0181011;-0.0745327
85;0.971539;0.231001;0.231551
85;1.62064;0.254382;-0.0556138
85;1.64775;0.277442;-0.207404
85;2.24768;0.423744;0.188822
85;2.27141;-0.0217606;2.30131
85;2.29745;0.0868848;2.33354
85;2.31752;0.201028;2.36512
85;2.3309;0.32097;2.39598
frame ; y ; z ; x 
86;0.0402654;0.0224475;-0.0748827
86;0.958912;0.268889;0.230295
86;1.60903;0.308584;-0.0086874
86;1.63202;0.337339;-0.208911
86;2.22463;0.505972;0.186587
86;2.26554;0.085678;2.30113
86;2.28577;0.198274;2.33273
86;2.2994;0.316633;2.3636
86;2.30558;0.441114;2.39365
86;0.0346282;0.0278008;-0.0754958
86;0.93452;0.310226;0.257892
86;1.59213;0.367502;-0.0103322
86;1.6006;0.454581;-0.162569
86;2.22463;0.505972;0.186587
86;2.25402;0.19552;2.30033
86;2.15009;0.357311;2.41684
86;2.15108;0.482452;2.44768
86;2.14277;0.614502;2.47751
86;0.0435344;0.0181011;-0.0745327
86;0.971539;0.231001;0.231551
86;1.62064;0.254382;-0.0556138
86;1.64775;0.277442;-0.207404
86;2.24768;0.423744;0.188822
86;3.20217;0.155542;0.176219
86;2.27141;-0.0217606;2.30131
86;2.29745;0.0868848;2.33354
86;2.31752;0.201028;2.36512
86;2.3309;0.32097;2.39598
frame ; y ; z ; x 
87;0.0402654;0.0224475;-0.0748827
87;0.958912;0.268889;0.230295
87;1.60903;0.308584;-0.0086874
87;1.62248;0.392069;-0.160377
87;2.24768;0.423744;0.188822
87;2.26554;0.085678;2.30113
87;2.28577;0.198274;2.33273
87;2.2994;0.316633;2.3636
87;2.30558;0.441114;2.39365
87;0.0346282;0.0278008;-0.0754958
87;0.93452;0.310226;0.257892
87;1.59213;0.367502;-0.0103322
87;1.6006;0.454581;-0.162569
87;2.25402;0.19552;2.30033
87;2.15009;0.357311;2.41684
87;2.15108;0.482452;2.44768
87;2.14277;0.614502;2.47751
87;0.0435344;0.0181011;-0.0745327
87;0.971539;0.231001;0.231551
87;1.62064;0.254382;-0.0556138
87;1.64775;0.277442;-0.207404
87;2.24768;0.423744;0.188822
87;2.27141;-0.0217606;2.30131
87;2.29745;0.0868848;2.33354
87;2.31752;0.201028;2.36512
87;2.3309;0.32097;2.39598
frame ; y ; z ; x 
88;0.0402654;0.0224475;-0.0748827
88;0.958912;0.268889;0.230295
88;1.60903;0.308584;-0.0086874
88;1.63202;0.337339;-0.208911
88;2.22463;0.505972;0.186587
88;2.26554;0.085678;2.30113
88;2.28577;0.198274;2.33273
88;2.2994;0.316633;2.3636
88;2.30558;0.441114;2.39365
88;0.0346282;0.0278008;-0.0754958
88;0.93452;0.310226;0.257892
88;1.59213;0.367502;-0.0103322
88;1.6006;0.454581;-0.162569
88;2.22463;0.505972;0.186587
88;2.25402;0.19552;2.30033
88;2.15009;0.357311;2.41684
88;2.15108;0.482452;2.44768
88;2.14277;0.614502;2.47751
88;0.0435344;0.0181011;-0.0745327
88;0.971539;0.231001;0.231551
88;1.62064;0.254382;-0.0556138
88;1.64775;0.277442;-0.207404
88;2.24768;0.423744;0.188822
88;2.27141;-0.0217606;2.30131
88;2.29745;0.0868848;2.33354
88;2.31752;0.201028;2.36512
88;2.3309;0.32097;2.39598
frame ; y ; z ; x 
89;0.0402654;0.0224475;-0.0748827
89;0.958912;0.268889;0.230295
89;1.60903;0.308584;-0.0086874
89;1.63202;0.337339;-0.208911
89;2.24768;0.423744;0.188822
89;2.26554;0.085678;2.30113
89;2.28577;0.198274;2.33273
89;2.2994;0.316633;2.3636
89;2.30558;0.441114;2.39365
89;0.0346282;0.0278008;-0.0754958
89;0.93452;0.310226;0.257892
89;1.59213;0.367502;-0.0103322
89;1.6006;0.454581;-0.162569
89;2.22463;0.505972;0.186587
89;2.25402;0.19552;2.30033
89;2.15009;0.357311;2.41684
89;2.15108;0.482452;2.44768
89;2.14277;0.614502;2.47751
89;0.0435344;0.0181011;-0.0745327
89;1.62064;0.254382;-0.0556138
89;1.63202;0.337339;-0.208911
89;2.24768;0.423744;0.188822
89;2.27141;-0.0217606;2.30131
89;2.29745;0.0868848;2.33354
89;2.31752;0.201028;2.36512
89;2.3309;0.32097;2.39598
frame ; y ; z ; x 
90;0.0402654;0.0224475;-0.0748827
90;0.958912;0.268889;0.230295
90;1.60903;0.308584;-0.0086874
90;1.63202;0.337339;-0.208911
90;2.22463;0.505972;0.186587
90;2.26554;0.085678;2.30113
90;2.28577;0.198274;2.33273
90;2.2994;0.316633;2.3636
90;2.30558;0.441114;2.39365
90;0.0346282;0.0278008;-0.0754958
90;0.93452;0.310226;0.257892
90;1.59213;0.367502;-0.0103322
90;1.6006;0.454581;-0.162569
90;2.25402;0.19552;2.30033
90;2.15009;0.357311;2.41684
90;2.15108;0.482452;2.44768
90;2.14277;0.614502;2.47751
90;0.0435344;0.0181011;-0.0745327
90;0.971539;0.231001;0.231551
90;1.62064;0.254382;-0.0556138
90;1.64775;0.277442;-0.207404
90;2.24768;0.423744;0.188822
90;2.27141;-0.0217606;2.30131
90;2.29745;0.0868848;2.33354
90;2.31752;0.201028;2.36512
90;2.3309;0.32097;2.39598
frame ; y ; z ; x 
91;0.0402654;0.0224475;-0.0748827
91;1.60903;0.308584;-0.0086874
91;1.62248;0.392069;-0.160377
91;2.24768;0.423744;0.188822
91;2.26554;0.085678;2.30113
91;2.28577;0.198274;2.33273
91;2.2994;0.316633;2.3636
91;2.30558;0.441114;2.39365
91;0.0346282;0.0278008;-0.0754958
91;1.52737;0.410648;0.0812755
91;1.59213;0.367502;-0.0103322
91;1.6006;0.454581;-0.162569
91;2.22463;0.505972;0.186587
91;2.25402;0.19552;2.30033
91;2.15009;0.357311;2.41684
91;2.15108;0.482452;2.44768
91;2.14277;0.614502;2.47751
91;0.0435344;0.0181011;-0.0745327
91;0.971539;0.231001;0.231551
91;1.62064;0.254382;-0.0556138
91;1.64775;0.277442;-0.207404
91;2.24768;0.423744;0.188822
91;2.27141;-0.0217606;2.30131
91;2.29745;0.0868848;2.33354
91;2.31752;0.201028;2.36512
91;2.3309;0.32097;2.39598
frame ; y ; z ; x 
92;0.0402654;0.0224475;-0.0748827
92;0.958912;0.268889;0.230295
92;1.60903;0.308584;-0.0086874
92;1.63202;0.337339;-0.208911
92;2.26554;0.085678;2.30113
92;2.28577;0.198274;2.33273
92;2.2994;0.316633;2.3636
92;2.30558;0.441114;2.39365
92;0.0346282;0.0278008;-0.0754958
92;0.93452;0.310226;0.257892
